iter_num,train_loss,val_loss
0,1.037172829836607,0.9601591657698154
1000,4.765638901352882,2.594682345509529
2000,0.7147025599777699,0.6758143394589424
3000,0.6597103544771671,0.6342395958900452
4000,0.6931196732968092,0.6359069513231516
5000,0.7052282255738974,0.6689844629764556
6000,0.6362022075504065,0.6063147774338722
7000,0.6453455744832755,0.5926198843419552
8000,0.6138766641914845,0.5752016194909811
9000,0.6035425745397807,0.5815301852077246
10000,0.5994231037274003,0.5738821598514915
11000,0.6281242664456368,0.5779645095318556
12000,0.5967395252436399,0.5445642703473568
13000,0.594930801525712,0.5578191365003586
14000,0.559551599368453,0.5137062830924988
15000,0.5339765590876341,0.4959873382151127
16000,0.4956972517743707,0.448945960432291
17000,0.4400557588338852,0.413145137861371
18000,0.4149756402373314,0.3773485869839788
19000,0.38677630906552074,0.3488468285948038
20000,0.3928391570597887,0.3441408304646611
21000,0.3424678058475256,0.32270650467276574
22000,0.3368247518762946,0.3062888927012682
23000,0.33659364572167394,0.2959760989025235
24000,0.3278589720875025,0.2887088326662779
25000,0.3162487865239382,0.2842803477421403
26000,0.30907658399641513,0.28123928539454934
27000,0.3087769066989422,0.28462094417214395
28000,0.31387832717597486,0.2784562074393034
29000,0.3044338415339589,0.27374935752898455
30000,0.3040546850636601,0.2799460902735591
31000,0.2950837560147047,0.26617410729825497
32000,0.2998537682443857,0.2721269034892321
33000,0.29847873480618,0.2786395581364632
34000,0.2921362554579973,0.26222039394825697
35000,0.29668756847828626,0.2658304307609797
36000,0.2962242687419057,0.26287233041971925
37000,0.29396999211609365,0.26513663464039566
38000,0.30515475311130286,0.276838569059968
39000,0.28277632899582383,0.25858483768999574
40000,0.2908019095659256,0.26526515959203245
41000,0.296257862649858,0.2758249792009592
42000,0.27937376409024,0.2551670100465417
43000,0.2960877887308598,0.26237193486839533
44000,0.2802752389386296,0.2507466188147664
45000,0.2773686033114791,0.2554198701754212
46000,0.27287169270962475,0.24870206208527088
47000,0.27466438634693624,0.2500282248184085
48000,0.2722153844386339,0.2470589450225234
49000,0.2706944011449814,0.24435100508481264
50000,0.2713631872609258,0.2538961859121919
51000,0.2705091265439987,0.24726192279160022
52000,0.27498093646764754,0.2512287052422762
53000,0.27890764725953343,0.25754149044305086
54000,0.2669613349363208,0.24099507239088416
55000,0.2671319135800004,0.2462697044312954
56000,0.2615997557938099,0.2386194849461317
57000,0.26865015346184373,0.2507028745263815
58000,0.2649386374279857,0.23655730110406875
59000,0.2641601196452975,0.24371389240771532
60000,0.2621955213099718,0.2362931741550565
61000,0.25649870681762693,0.23560039295256138
62000,0.26061487510055303,0.23676743573695422
63000,0.26411318363249303,0.23923384454846383
64000,0.2597086723893881,0.23379435066133739
65000,0.2549107748270035,0.23917844018340112
66000,0.2583500924780965,0.23374671640247108
